date,entry
01 May 2026,Today I felt very tired and stressed because of work
02 May 2026,I enjoyed talking with my friends and felt relaxed
03 May 2026,Feeling anxious about exams and future
04 May 2026,Today I felt very tired and stressed because of work
05 May 2026,I enjoyed talking with my friends and felt relaxed
06 May 2026,Feeling anxious about exams and future
07 May 2026,Today I felt very tired and stressed because of work
08 May 2026,I enjoyed talking with my friends and felt relaxed
09 May 2026,Feeling anxious about exams and future
10 May 2026,Today I felt very tired and stressed because of work
11 May 2026,I enjoyed talking with my friends and felt relaxed
12 May 2026,Feeling anxious about exams and future
13 May 2026,Today I felt very tired and stressed because of work
14 May 2026,I enjoyed talking with my friends and felt relaxed
15 May 2026,Feeling anxious about exams and future
16 May 2026,Today I felt very tired and stressed because of work
17 May 2026,I enjoyed talking with my friends and felt relaxed
18 May 2026,Feeling anxious about exams and future
19 May 2026,Today I felt very tired and stressed because of work
20 May 2026,I enjoyed talking with my friends and felt relaxed
21 May 2026,Feeling anxious about exams and future
22 May 2026,Today I felt very tired and stressed because of work
23 May 2026,I enjoyed talking with my friends and felt relaxed
24 May 2026,Feeling anxious about exams and future
25 May 2026,Today I felt very tired and stressed because of work
26 May 2026,I enjoyed talking with my friends and felt relaxed
27 May 2026,Feeling anxious about exams and future
28 May 2026,Today I felt very tired and stressed because of work
29 May 2026,I enjoyed talking with my friends and felt relaxed
30 May 2026,Feeling anxious about exams and future
31 May 2026,Today I felt very tired and stressed because of work
01 June 2026,I enjoyed talking with my friends and felt relaxed
