date,entry
2026-06-13,I felt happy and energetic today
2026-05-25,I feel trapped in my thoughts
2026-05-27,I do not feel emotionally safe
2026-05-21,I am losing interest in everything
2026-05-08,Today felt lonely and difficult
2026-05-19,Nothing seems meaningful anymore
2026-05-24,I do not feel emotionally safe
2026-05-11,My thoughts are becoming darker
2026-05-20,I feel hopeless and emotionally broken
2026-06-12,I laughed a lot and felt cheerful
2026-05-22,Nothing seems meaningful anymore
2026-05-17,I feel hopeless and emotionally broken
2026-06-09,I completed my goals successfully
2026-06-07,I enjoyed spending time with friends
2026-05-03,I felt mentally tired all day
2026-06-14,I enjoyed spending time with friends
2026-06-11,I felt motivated and optimistic
2026-05-10,I felt frustrated and angry today
2026-05-15,I feel hopeless and emotionally broken
2026-06-15,I felt happy and energetic today
2026-05-23,My thoughts are becoming darker
2026-06-03,I laughed a lot and felt cheerful
2026-05-26,I feel like giving up sometimes
2026-05-31,I felt mentally refreshed today
2026-05-02,I struggled to stay motivated
2026-06-18,I enjoyed spending time with friends
2026-06-06,I enjoyed spending time with friends
2026-06-08,I felt motivated and optimistic
2026-06-01,I laughed a lot and felt cheerful
2026-05-14,I do not feel emotionally safe
2026-06-02,I felt confident about myself
2026-06-10,I felt motivated and optimistic
2026-05-06,Feeling emotionally drained after work
2026-05-01,I felt mentally tired all day
2026-06-17,I completed my goals successfully
2026-05-04,Everything feels exhausting lately
2026-05-07,Everything feels exhausting lately
2026-06-05,I felt confident about myself
2026-06-16,I felt motivated and optimistic
2026-05-05,Feeling emotionally drained after work
2026-05-16,Nothing seems meaningful anymore
2026-05-30,I feel isolated and emotionally weak
2026-05-18,I do not feel emotionally safe
2026-05-12,I do not feel emotionally safe
2026-05-28,My thoughts are becoming darker
2026-05-09,I felt stressed and overwhelmed today
2026-05-29,I feel disconnected from everyone
2026-06-04,I felt motivated and optimistic
2026-06-19,I felt confident about myself
2026-05-13,I feel isolated and emotionally weak
